 "biodes1" , "person" , "evt1" , "deathdate1" , "biodes2" , "evt2" , "deathdate2" ,
 "http://data.biographynet.nl/rdf/PersonDes-44287831_05" , "http://data.biographynet.nl/rdf/Person-44287831" , "__bnode14686" , "1846-06-28" , "http://data.biographynet.nl/rdf/PersonDes-44287831_01" , "__bnode14636" , "1846" ,
 "http://data.biographynet.nl/rdf/PersonDes-44287831_05" , "http://data.biographynet.nl/rdf/Person-44287831" , "__bnode14686" , "1846-06-28" , "http://data.biographynet.nl/rdf/PersonDes-44287831_02" , "__bnode14655" , "1846" ,
 "http://data.biographynet.nl/rdf/PersonDes-44287831_05" , "http://data.biographynet.nl/rdf/Person-44287831" , "__bnode14686" , "1846-06-28" , "http://data.biographynet.nl/rdf/PersonDes-44287831_03" , "__bnode14668" , "1846-07-28" ,
 "http://data.biographynet.nl/rdf/PersonDes-4448894_07" , "http://data.biographynet.nl/rdf/Person-4448894" , "__bnode19070" , "1965-04-28" , "http://data.biographynet.nl/rdf/PersonDes-4448894_04" , "__bnode19037" , "1965" ,
 "http://data.biographynet.nl/rdf/PersonDes-44750057_01" , "http://data.biographynet.nl/rdf/Person-44750057" , "__bnode25121" , "1738-01-26" , "http://data.biographynet.nl/rdf/PersonDes-44750057_02" , "__bnode25140" , "1738" ,
 "http://data.biographynet.nl/rdf/PersonDes-44772452_03" , "http://data.biographynet.nl/rdf/Person-44772452" , "__bnode25607" , "1872" , "http://data.biographynet.nl/rdf/PersonDes-44772452_01" , "__bnode25585" , "1872-12-26" ,
 "http://data.biographynet.nl/rdf/PersonDes-45382330_03" , "http://data.biographynet.nl/rdf/Person-45382330" , "__bnode38540" , "1733-02-13" , "http://data.biographynet.nl/rdf/PersonDes-45382330_05" , "__bnode38556" , "1733" ,
 "http://data.biographynet.nl/rdf/PersonDes-45455235_06" , "http://data.biographynet.nl/rdf/Person-45455235" , "__bnode39898" , "1839-05-08" , "http://data.biographynet.nl/rdf/PersonDes-45455235_01" , "__bnode39848" , "1839-05-09" ,
 "http://data.biographynet.nl/rdf/PersonDes-45455235_06" , "http://data.biographynet.nl/rdf/Person-45455235" , "__bnode39898" , "1839-05-08" , "http://data.biographynet.nl/rdf/PersonDes-45455235_03" , "__bnode39864" , "1839-05-01" ,
 "http://data.biographynet.nl/rdf/PersonDes-45455235_06" , "http://data.biographynet.nl/rdf/Person-45455235" , "__bnode39898" , "1839-05-08" , "http://data.biographynet.nl/rdf/PersonDes-45455235_04" , "__bnode39881" , "1839-05-01" ,
 "http://data.biographynet.nl/rdf/PersonDes-45455235_07" , "http://data.biographynet.nl/rdf/Person-45455235" , "__bnode39906" , "1839-05-08" , "http://data.biographynet.nl/rdf/PersonDes-45455235_01" , "__bnode39848" , "1839-05-09" ,
 "http://data.biographynet.nl/rdf/PersonDes-45455235_07" , "http://data.biographynet.nl/rdf/Person-45455235" , "__bnode39906" , "1839-05-08" , "http://data.biographynet.nl/rdf/PersonDes-45455235_03" , "__bnode39864" , "1839-05-01" ,
 "http://data.biographynet.nl/rdf/PersonDes-45455235_07" , "http://data.biographynet.nl/rdf/Person-45455235" , "__bnode39906" , "1839-05-08" , "http://data.biographynet.nl/rdf/PersonDes-45455235_04" , "__bnode39881" , "1839-05-01" ,
 "http://data.biographynet.nl/rdf/PersonDes-45475098_04" , "http://data.biographynet.nl/rdf/Person-45475098" , "__bnode40245" , "1888-06-21" , "http://data.biographynet.nl/rdf/PersonDes-45475098_03" , "__bnode40237" , "1888" ,
 "http://data.biographynet.nl/rdf/PersonDes-45580452_01" , "http://data.biographynet.nl/rdf/Person-45580452" , "__bnode43152" , "1452-02-16" , "http://data.biographynet.nl/rdf/PersonDes-45580452_02" , "__bnode43168" , "1452" ,
 "http://data.biographynet.nl/rdf/PersonDes-45654942_09" , "http://data.biographynet.nl/rdf/Person-45654942" , "__bnode44750" , "1586-05-07" , "http://data.biographynet.nl/rdf/PersonDes-45654942_06" , "__bnode44725" , "1586" ,
 "http://data.biographynet.nl/rdf/PersonDes-45654942_09" , "http://data.biographynet.nl/rdf/Person-45654942" , "__bnode44750" , "1586-05-07" , "http://data.biographynet.nl/rdf/PersonDes-45654942_07" , "__bnode44733" , "1586" ,
 "http://data.biographynet.nl/rdf/PersonDes-4584221_04" , "http://data.biographynet.nl/rdf/Person-4584221" , "__bnode49685" , "1966" , "http://data.biographynet.nl/rdf/PersonDes-4584221_01" , "__bnode49659" , "1966-11-01" ,
 "http://data.biographynet.nl/rdf/PersonDes-4584221_04" , "http://data.biographynet.nl/rdf/Person-4584221" , "__bnode49685" , "1966" , "http://data.biographynet.nl/rdf/PersonDes-4584221_06" , "__bnode49720" , "1966-11-01" ,
 "http://data.biographynet.nl/rdf/PersonDes-4584221_04" , "http://data.biographynet.nl/rdf/Person-4584221" , "__bnode49685" , "1966" , "http://data.biographynet.nl/rdf/PersonDes-4584221_05" , "__bnode49698" , "1966-11-01" ,
